,ITTER107,Territorio,Tipo di coltivazione,Value
43847,ITF5,Basilicata,fagiolo ,1970
43888,ITF5,Basilicata,altri cereali,50108
43963,ITE4,Lazio,bieta da orto in serra,132
44050,ITG2,Sardegna,fagiolino in serra,717
44071,ITE4,Lazio,nocciola,453300
44084,ITG1,Sicilia,asparago in serra,6450
44136,ITF3,Campania,fagiolo ,12933
44138,ITG2,Sardegna,finocchio in piena aria,250316
44169,ITF4,Puglia,fava fresca in piena aria,24480
44186,ITD4,Friuli-Venezia Giulia,finocchio in piena aria,4044
44201,ITC4,Lombardia,fava fresca in piena aria,14072
44364,ITF6,Calabria,nocciola,7330
44412,ITF1,Abruzzo,melanzana in piena aria,37242
44426,ITC3,Liguria,fragola in serra,1240
44428,ITC4,Lombardia,prezzemolo in piena aria,2440
44431,ITE1,Toscana,fava da granella ,282135
44433,ITE2,Umbria,girasole,192000
44461,ITF6,Calabria,altri ortaggi in serra,6580
44521,ITF4,Puglia,prezzemolo in piena aria,220530
44535,ITF1,Abruzzo,asparago in piena aria,1125
44601,ITD5,Emilia-Romagna,mela,2002655
44632,ITF4,Puglia,patata primaticcia ,301110
44641,ITF6,Calabria,spinacio in serra,200
44718,ITD5,Emilia-Romagna,fava fresca in piena aria,2712
44773,ITE3,Marche,pera,7900
44781,ITF1,Abruzzo,patata comune ,1691854
44858,ITF6,Calabria,bieta da orto in serra,25
44864,ITF4,Puglia,lino,100
44950,ITD5,Emilia-Romagna,melanzana in piena aria,34240
44953,ITF3,Campania,barbabietola da orto,3000
45003,ITD4,Friuli-Venezia Giulia,prezzemolo in piena aria,200
45100,ITE1,Toscana,nocciola,3048
45123,ITF6,Calabria,riso,32338
45175,ITC4,Lombardia,finocchio in piena aria,880
45205,ITF1,Abruzzo,patata primaticcia ,12679
45233,ITE4,Lazio,fava da granella ,26160
45259,ITD5,Emilia-Romagna,lattuga in piena aria,459010
45312,ITF2,Molise,limone,180
45321,ITE3,Marche,cocomero in serra,74
45325,ITG2,Sardegna,fragola in serra,7545
45357,ITG2,Sardegna,mandorla,42848
45372,ITC2,Valle d'Aosta / Vallée d'Aoste,patata comune ,31000
45416,ITE1,Toscana,valeriana in serra,885
45463,ITF2,Molise,carciofo in piena aria,18000
45526,ITF4,Puglia,finocchio in piena aria,1404170
45545,ITF2,Molise,mela,46000
45547,ITF3,Campania,clementine,48718
45564,ITE2,Umbria,mais,1070000
45627,ITE1,Toscana,cocomero in serra,1933
45643,ITE2,Umbria,lattuga in serra,500
45660,ITD5,Emilia-Romagna,lino,780
45720,ITE2,Umbria,bietola da costa in piena aria,6200
45747,ITF1,Abruzzo,prezzemolo in piena aria,760
45780,ITC3,Liguria,altri ortaggi in serra,6000
45793,ITD3,Veneto,barbabietola da zucchero,6095665
45802,ITC3,Liguria,fragola in piena aria,100
45920,ITE3,Marche,fagiolo ,409
45922,ITE3,Marche,altri cereali,102399
45960,ITD5,Emilia-Romagna,colza,75848
45965,ITG1,Sicilia,pera,502720
45969,ITD3,Veneto,pisello in piena aria,75175
45979,ITF2,Molise,fava fresca in piena aria,10400
46019,ITC3,Liguria,indivia (riccia e scarola) in piena aria,2220
46072,ITD4,Friuli-Venezia Giulia,riso,810
46077,ITF6,Calabria,fava da granella ,17293
46085,ITF3,Campania,pisello proteico ,120
46089,ITG2,Sardegna,riso,259334
46112,ITF4,Puglia,fragola in piena aria,2690
46159,ITC4,Lombardia,fragola in piena aria,3967
46164,ITD3,Veneto,peperone in piena aria,9720
46191,ITF2,Molise,lattuga in piena aria,27800
46219,ITD3,Veneto,fagiolo e fagiolino in piena aria,57185
46225,ITF2,Molise,broccoletto di rapa in piena aria,7000
46241,ITF1,Abruzzo,fragola in serra,1600
46324,ITF4,Puglia,altri ortaggi in serra,5600
46326,ITF5,Basilicata,peperone in piena aria,106139
46362,ITC4,Lombardia,indivia (riccia e scarola) in piena aria,69636
46367,ITE4,Lazio,cocomero in serra,510380
46369,ITF1,Abruzzo,mandorla,282
46401,ITF4,Puglia,indivia (riccia e scarola) in piena aria,652580
46416,ITF2,Molise,patata primaticcia ,17500
46436,ITC1,Piemonte,carota in serra,870
46526,ITC4,Lombardia,colza,117262
46532,ITC1,Piemonte,ciliegia,21811
46620,ITF3,Campania,bietola in serra,1900
46704,ITE2,Umbria,radicchio o cicoria in piena aria,2095
46721,ITF3,Campania,radicchio o cicoria in piena aria,56662
46888,ITD4,Friuli-Venezia Giulia,indivia (riccia e scarola) in piena aria,153
46908,ITF1,Abruzzo,finocchio in piena aria,646951
46918,ITC1,Piemonte,broccoletto di rapa in piena aria,6366
46922,ITG2,Sardegna,indivia (riccia e scarola) in piena aria,41434
46959,ITE1,Toscana,fagiolo e fagiolino in piena aria,16585
47035,ITE2,Umbria,carciofo in piena aria,230
47164,ITE4,Lazio,fagiolo e fagiolino in piena aria,29350
47170,ITC4,Lombardia,mandorla,26
47274,ITC1,Piemonte,bietola da costa in piena aria,10628
47355,ITE1,Toscana,pera,91951
