,ITTER107,Territorio,TIPO_DATO5,Tipo variabile,AGRI_MADRE,Tipo di coltivazione,TIME,Seleziona periodo,Value
5591,ITF1,Abruzzo,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,46800
5609,ITF2,Molise,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,12500
5619,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,728488
5639,ITF4,Puglia,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,701130
5671,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,87150
5683,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,27800
5705,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,303500
5737,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,WATENINOP,cocomero in piena aria,2018,2018,483551
5770,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,3306
5802,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,392
5826,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,5150
5841,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,268
5865,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,50
5877,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,27
5895,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,2950
5916,ITF5,Basilicata,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,2750
5928,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,2379
5952,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,99
5964,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,FENNGREENH,finocchio in serra,2018,2018,13594
6015,ITC1,Piemonte,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,1984
6033,ITC3,Liguria,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,600
6045,ITC4,Lombardia,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,12060
6075,ITD3,Veneto,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,9982
6105,ITD5,Emilia-Romagna,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,9640
6138,ITE1,Toscana,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,2049
6174,ITE2,Umbria,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,120
6186,ITE3,Marche,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,99
6204,ITE4,Lazio,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,12900
6225,ITF3,Campania,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,23697
6249,ITF6,Calabria,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,2085
6279,ITG1,Sicilia,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,1130
6291,ITG2,Sardegna,HP_Q_EXT,produzione raccolta - quintali ,ENDIGREENH,indivia in serra,2018,2018,2470
